year	teamID	finalTeamID	teamName
1970	DET	DET	Detroit Pistons
1970	LAL	LAL	Los Angeles Lakers
1970	MIL	MIL	Milwaukee Bucks
1970	NYK	NYK	New York Knicks
1970	PHI	PHI	Philadelphia 76ers
1970	PHO	PHO	Phoenix Suns
1970	SDR	HOU	San Diego Rockets
1970	SEA	OKC	Seattle SuperSonics
1970	SFW	GSW	San Francisco Warriors
1971	ATL	ATL	Atlanta Hawks
1971	BAL	WAS	Baltimore Bullets
1971	BOS	BOS	Boston Celtics
1971	BUF	LAC	Buffalo Braves
1971	CHI	CHI	Chicago Bulls
1971	CIN	SAC	Cincinnati Royals
1971	CLE	CLE	Cleveland Cavaliers
1971	DET	DET	Detroit Pistons
1971	LAL	LAL	Los Angeles Lakers
1971	MIL	MIL	Milwaukee Bucks
1971	NYK	NYK	New York Knicks
1971	PHI	PHI	Philadelphia 76ers
1971	PHO	PHO	Phoenix Suns
1971	POR	POR	Portland Trail Blazers
1971	SDR	HOU	San Diego Rockets
1971	SEA	OKC	Seattle SuperSonics
1971	SFW	GSW	San Francisco Warriors
1972	ATL	ATL	Atlanta Hawks
1972	BAL	WAS	Baltimore Bullets
1972	BOS	BOS	Boston Celtics
1972	BUF	LAC	Buffalo Braves
1972	CHI	CHI	Chicago Bulls
1972	CIN	SAC	Cincinnati Royals
1972	CLE	CLE	Cleveland Cavaliers
1972	DET	DET	Detroit Pistons
1972	GSW	GSW	Golden State Warriors
1972	HOU	HOU	Houston Rockets
1972	LAL	LAL	Los Angeles Lakers
1972	MIL	MIL	Milwaukee Bucks
1972	NYK	NYK	New York Knicks
1972	PHI	PHI	Philadelphia 76ers
1972	PHO	PHO	Phoenix Suns
1972	POR	POR	Portland Trail Blazers
1972	SEA	OKC	Seattle SuperSonics
1973	ATL	ATL	Atlanta Hawks
1973	BAL	WAS	Baltimore Bullets
1973	BOS	BOS	Boston Celtics
1973	BUF	LAC	Buffalo Braves
1973	CHI	CHI	Chicago Bulls
1973	CLE	CLE	Cleveland Cavaliers
1973	DET	DET	Detroit Pistons
1973	GSW	GSW	Golden State Warriors
1973	HOU	HOU	Houston Rockets
1973	KCO	SAC	Kansas City-Omaha Kings
1973	LAL	LAL	Los Angeles Lakers
1973	MIL	MIL	Milwaukee Bucks
1973	NYK	NYK	New York Knicks
1973	PHI	PHI	Philadelphia 76ers
1973	PHO	PHO	Phoenix Suns
1973	POR	POR	Portland Trail Blazers
1973	SEA	OKC	Seattle SuperSonics
1974	ATL	ATL	Atlanta Hawks
1974	BOS	BOS	Boston Celtics
1974	BUF	LAC	Buffalo Braves
1974	CAP	WAS	Capital Bullets
1974	CHI	CHI	Chicago Bulls
1974	CLE	CLE	Cleveland Cavaliers
1974	DET	DET	Detroit Pistons
1974	GSW	GSW	Golden State Warriors
1974	HOU	HOU	Houston Rockets
1974	KCO	SAC	Kansas City-Omaha Kings
1974	LAL	LAL	Los Angeles Lakers
1974	MIL	MIL	Milwaukee Bucks
1974	NYK	NYK	New York Knicks
1974	PHI	PHI	Philadelphia 76ers
1974	PHO	PHO	Phoenix Suns
1974	POR	POR	Portland Trail Blazers
1974	SEA	OKC	Seattle SuperSonics
1975	ATL	ATL	Atlanta Hawks
1975	BOS	BOS	Boston Celtics
1975	BUF	LAC	Buffalo Braves
1975	CHI	CHI	Chicago Bulls
1975	CLE	CLE	Cleveland Cavaliers
1975	DET	DET	Detroit Pistons
1975	GSW	GSW	Golden State Warriors
