year	teamID	name	playerID
1952	MLH	Gene Vance	vancege01
1952	MLH	Bob Wilson	wilsobo01
1952	MNL	Bob Harrison	harribo02
1952	MNL	Lew Hitch	hitchle01
1952	MNL	Joe Hutton	huttojo01
1952	MNL	Slater Martin	martisl01
1952	MNL	George Mikan	mikange01
1952	MNL	Vern Mikkelsen	mikkeve01
1952	MNL	John Pilch	pilchjo01
1952	MNL	Jim Pollard	pollaji01
1952	MNL	Pep Saul	saulpe01
1952	MNL	Howie Schultz	schulho01
1952	MNL	Whitey Skoog	skoogwh01
1952	NYK	Vince Boryla	borylvi01
1952	NYK	Nat Clifton	cliftna01
1952	NYK	Harry Gallatin	gallaha01
1952	NYK	George Kaftan	kaftage01
1952	NYK	Ray Lumpp	lumppra01
1952	NYK	Alfred McGuire	mcguial01
1952	NYK	Dick McGuire	mcguidi01
1952	NYK	Herb Scherer	scherhe01
1952	NYK	Connie Simmons	simmoco01
1952	NYK	Ernie Vandeweghe	vandeer01
1952	NYK	Max Zaslofsky	zasloma01
1952	PHW	Paul Arizin	arizipa01
1952	PHW	Nelson Bobb	bobbne01
1952	PHW	Stan Brown	brownst01
1952	PHW	Walt Budko	budkowa01
1952	PHW	Ed Dahler	dahleed01
1952	PHW	Joe Fulks	fulksjo01
1952	PHW	Vern Gardner	gardnve01
1952	PHW	Neil Johnston	johnsne01
1952	PHW	Ed Mikan	mikaned01
1952	PHW	Mel Payton	paytome01
1952	PHW	Andy Phillip	phillan01
1952	PHW	George Senesky	senesge01
1952	ROC	Jack Coleman	colemja01
1952	ROC	Bob Davies	daviebo01
1952	ROC	Alex Hannum	hannual01
1952	ROC	Red Holzman	holzmre01
1952	ROC	Arnie Johnson	johnsar01
1952	ROC	Joe McNamee	mcnamjo01
1952	ROC	Paul Noel	noelpa01
1952	ROC	Ray Ragelis	ragelra01
1952	ROC	Sam Ranzino	ranzisa01
1952	ROC	Arnie Risen	risenar01
1952	ROC	Odie Spears	spearod01
1952	ROC	Bobby Wanzer	wanzebo01
1952	SYR	Gerry Calabrese	calabge01
1952	SYR	Al Cervi	cervial01
1952	SYR	Bill Gabor	gaborbi01
1952	SYR	Noble Jorgensen	jorgeno01
1952	SYR	George King	kingge01
1952	SYR	Wally Osterkorn	osterwa01
1952	SYR	George Ratkovicz	ratkoge01
1952	SYR	Red Rocha	rochare01
1952	SYR	Don Savage	savagdo01
1952	SYR	Dolph Schayes	schaydo01
1952	SYR	Paul Seymour	seymopa01
1953	BLB	Jim Baechtold	baechji01
1953	BLB	Don Barksdale	barksdo01
1953	BLB	Don Boven	bovendo01
1953	BLB	Dick Bunt	buntdi01
1953	BLB	Blaine Denning	dennibl01
1953	BLB	Don Henriksen	henrido01
1953	BLB	Paul Hoffman	hoffmpa01
1953	BLB	George Kaftan	kaftage01
1953	BLB	Jack Kerris	kerrija01
1953	BLB	Frank Kudelka	kudelfr01
1953	BLB	Ray Lumpp	lumppra01
1953	BLB	George McLeod	mcleoge01
1953	BLB	Stan Miasek	miasest01
1953	BLB	Eddie Miller	milleed01
1953	BLB	Dave Minor	minorda01
1953	BLB	Ralph O'Brien	obriera01
1953	BLB	Kevin O'Shea	osheake01
1953	BLB	Bob Priddy	priddbo01
1953	BLB	George Ratkovicz	ratkoge01
1953	BLB	Fred Scolari	scolafr01
1953	BOS	Bob Brannum	brannbo01
1953	BOS	Gene Conley	conlege01
1953	BOS	Chuck Cooper	coopech01
1953	BOS	Bob Cousy	cousybo01
1953	BOS	Bob Donham	donhabo01
1953	BOS	Bob Harris	harribo01
1953	BOS	Kleggie Hermsen	hermskl01
1953	BOS	Ed Macauley	macaued01
1953	BOS	John Mahnken	mahnkjo01
1953	BOS	Mo Mahoney	mahonmo01
1953	BOS	Kenny Rollins	rollike01
1953	BOS	Bill Sharman	sharmbi01
1953	FTW	Don Boven	bovendo01
1953	FTW	Frankie Brian	brianfr01
1953	FTW	Ray Corley	corlera01
1953	FTW	Dike Eddleman	eddledi01
1953	FTW	Jake Fendley	fendlja01
1953	FTW	Larry Foust	foustla01
1953	FTW	Dick Groat	groatdi01
1953	FTW	Ralph Johnson	johnsra01
1953	FTW	Jack Kerris	kerrija01
1953	FTW	Jack Kiley	kileyja01
1953	FTW	Monk Meineke	meinemo01
1953	FTW	Ralph O'Brien	obriera01
1953	FTW	Andy Phillip	phillan01
1953	FTW	Fred Schaus	schaufr01
1953	FTW	Fred Scolari	scolafr01
1953	FTW	Chuck Share	sharech01
1953	INO	Leo Barnhorst	barnhle01
1953	INO	Joe Graboski	grabojo01
1953	INO	Don Hanrahan	hanrado01
1953	INO	Kleggie Hermsen	hermskl01
1953	INO	Bob Lavoy	lavoybo01
1953	INO	Ed Mikan	mikaned01
1953	INO	Bob Naber	naberbo01
1953	INO	Ralph O'Brien	obriera01
1953	INO	Mel Payton	paytome01
1953	INO	Gene Rhodes	rhodege01
1953	INO	Bill Tosheff	toshebi01
1953	INO	Paul Walther	walthpa01
1953	INO	Zeke Zawoluk	zawolze01
1953	MLH	Don Boven	bovendo01
1953	MLH	Jim Brasco	brascji01
