part	rank	time	name	year	day
2	34	Dec 10  00:05:47	NickSifniotis	2015	10
2	35	Dec 10  00:05:50	(anonymous user #19765)	2015	10
2	36	Dec 10  00:06:09	Daniel Rejment	2015	10
2	37	Dec 10  00:06:10	Eric Toulson	2015	10
2	38	Dec 10  00:06:14	chz16	2015	10
2	39	Dec 10  00:06:21	Jānis Lībeks	2015	10
2	40	Dec 10  00:06:26	Jacob Dennerlein	2015	10
2	41	Dec 10  00:06:46	Mark Kahn	2015	10
2	42	Dec 10  00:06:49	huangchris	2015	10
2	43	Dec 10  00:06:53	edanaher	2015	10
2	44	Dec 10  00:07:00	Joel Lathrop	2015	10
2	45	Dec 10  00:07:05	balidani	2015	10
2	46	Dec 10  00:07:06	heinrich5991	2015	10
2	47	Dec 10  00:07:25	etotheipi1	2015	10
2	48	Dec 10  00:07:26	Yusyuriv	2015	10
2	49	Dec 10  00:07:35	Evan Burak	2015	10
2	50	Dec 10  00:07:35	Tryneus	2015	10
2	51	Dec 10  00:07:47	kingdave1000	2015	10
2	52	Dec 10  00:07:55	(anonymous user #35470)	2015	10
2	53	Dec 10  00:07:56	David Stockton	2015	10
2	54	Dec 10  00:07:57	Pedro Osório	2015	10
2	55	Dec 10  00:08:01	Kesavan Yogeswaran	2015	10
2	56	Dec 10  00:08:08	Alex Crimi	2015	10
2	57	Dec 10  00:08:11	Sala	2015	10
2	58	Dec 10  00:08:12	dougg3	2015	10
2	59	Dec 10  00:08:14	CAD97	2015	10
2	60	Dec 10  00:08:15	Godspiral	2015	10
2	61	Dec 10  00:08:16	randrews	2015	10
2	62	Dec 10  00:08:19	Caleb Brown	2015	10
2	63	Dec 10  00:08:28	Scott Emerson	2015	10
2	64	Dec 10  00:08:31	Michael Klassen	2015	10
2	65	Dec 10  00:08:35	jlmcmchl	2015	10
2	66	Dec 10  00:08:38	aepsilon	2015	10
2	67	Dec 10  00:08:43	Thomas Scallon	2015	10
2	68	Dec 10  00:08:45	Nick Parisi	2015	10
2	69	Dec 10  00:08:45	Jinming Shao	2015	10
2	70	Dec 10  00:08:46	ns-szhang	2015	10
2	71	Dec 10  00:08:48	soolar	2015	10
2	72	Dec 10  00:08:49	(anonymous user #18301)	2015	10
2	73	Dec 10  00:08:55	Bart Massey	2015	10
2	74	Dec 10  00:09:09	Chris Lefever	2015	10
2	75	Dec 10  00:09:15	gtllama	2015	10
2	76	Dec 10  00:09:21	Mause	2015	10
2	77	Dec 10  00:09:22	Elliott Sales de Andrade	2015	10
2	78	Dec 10  00:09:24	@callmewuest	2015	10
2	79	Dec 10  00:09:24	Hugo Hudson	2015	10
